ICD10Code,Description,Health Domain Grouping
J10 ,Influenza due to identified influenza virus ,Ambulatory Care Sensitive Vaccine-preventable
J11 ,"Influenza, virus not identified ",Ambulatory Care Sensitive Vaccine-preventable
J13 ,Pneumonia due to Streptococcus pneumoniae ,Ambulatory Care Sensitive Vaccine-preventable
J14 ,Pneumonia due to Haemophilus influenzae ,Ambulatory Care Sensitive Vaccine-preventable
J15,"Pneumonia due to streptococcus, group B ",Ambulatory Care Sensitive Vaccine-preventable
J16,Pneumonia due to other specified infectious organisms ,Ambulatory Care Sensitive Vaccine-preventable
J18,"Lobar pneumonia, unspecified ",Ambulatory Care Sensitive Vaccine-preventable
A35 ,Other tetanus ,Ambulatory Care Sensitive Vaccine-preventable
A36 ,Diphtheria ,Ambulatory Care Sensitive Vaccine-preventable
A37 ,Whooping cough ,Ambulatory Care Sensitive Vaccine-preventable
A80 ,Acute poliomyelitis ,Ambulatory Care Sensitive Vaccine-preventable
B05 ,Measles ,Ambulatory Care Sensitive Vaccine-preventable
B06 ,Rubella [German measles] ,Ambulatory Care Sensitive Vaccine-preventable
B16,Acute hep B ,Ambulatory Care Sensitive Vaccine-preventable
B18,Chronic viral hepatitis B,Ambulatory Care Sensitive Vaccine-preventable
B26 ,Mumps ,Ambulatory Care Sensitive Vaccine-preventable
G00,Haemophilus meningitis ,Ambulatory Care Sensitive Vaccine-preventable
M01,Rubella arthritis ,Ambulatory Care Sensitive Vaccine-preventable
J45 ,Asthma ,Ambulatory Care Sensitive Chronic
J46 ,Status asthmaticus ,Ambulatory Care Sensitive Chronic
I11,Hypertensive heart disease with (congestive) heart failure ,Ambulatory Care Sensitive Chronic
I50 ,Heart failure ,Ambulatory Care Sensitive Chronic
J81 ,Pulmonary oedema ,Ambulatory Care Sensitive Chronic
E10,Insulin-dependent diabetes mellitus ,Ambulatory Care Sensitive Chronic
E11,Non-insulin-dependent diabetes mellitus ,Ambulatory Care Sensitive Chronic
E12,Malnutrition-related diabetes mellitus ,Ambulatory Care Sensitive Chronic
E13,Other specified diabetes mellitus ,Ambulatory Care Sensitive Chronic
E14,Unspecified diabetes mellitus ,Ambulatory Care Sensitive Chronic
J20 ,Acute bronchitis ,Ambulatory Care Sensitive Chronic
J41 ,Simple and mucopurulent chronic bronchitis ,Ambulatory Care Sensitive Chronic
J42 ,Unspecified chronic bronchitis ,Ambulatory Care Sensitive Chronic
J43 ,Emphysema ,Ambulatory Care Sensitive Chronic
J44 ,Other chronic obstructive pulmonary disease ,Ambulatory Care Sensitive Chronic
J47 ,Bronchiectasis ,Ambulatory Care Sensitive Chronic
I20 ,Angina pectoris ,Ambulatory Care Sensitive Chronic
I24,Coronary thrombosis not resulting in myocardial infarction ,Ambulatory Care Sensitive Chronic
D50,Sideropenic dysphagia ,Ambulatory Care Sensitive Chronic
I10 ,Essential (primary) hypertension ,Ambulatory Care Sensitive Chronic
I11,Hypertensive heart disease without (congestive) heart failure ,Ambulatory Care Sensitive Chronic
E40 ,Kwashiorkor ,Ambulatory Care Sensitive Acute
E41 ,Nutritional marasmus ,Ambulatory Care Sensitive Acute
E42  ,Marasmic kwashiorkor ,Ambulatory Care Sensitive Acute
E43,Unspecified severe protein-energy malnutrition ,Ambulatory Care Sensitive Acute
E55,"Rickets, active ",Ambulatory Care Sensitive Acute
E64,Sequelae of rickets ,Ambulatory Care Sensitive Acute
E86 ,Volume depletion ,Ambulatory Care Sensitive Acute
K52,Allergic and dietetic gastroenteritis and colitis,Ambulatory Care Sensitive Acute
N10 ,Acute tubulo-interstitial nephritis ,Ambulatory Care Sensitive Acute
