ICD10Code,Description
J10 ,Influenza due to identified influenza virus 
J11 ,"Influenza, virus not identified "
J13 ,Pneumonia due to Streptococcus pneumoniae 
J14 ,Pneumonia due to Haemophilus influenzae 
J15,"Pneumonia due to streptococcus, group B "
J16,Pneumonia due to other specified infectious organisms 
J18,"Lobar pneumonia, unspecified "
A35 ,Other tetanus 
A36 ,Diphtheria 
A37 ,Whooping cough 
A80 ,Acute poliomyelitis 
B05 ,Measles 
B06 ,Rubella [German measles] 
B16,Acute hep B 
B18,Chronic viral hepatitis B
B26 ,Mumps 
G00,Haemophilus meningitis 
M01,Rubella arthritis 
